DYRK1A_N;ITSN1_N;BDNF_N;NR1_N;NR2A_N;pAKT_N;pBRAF_N;pCAMKII_N;pCREB_N;pELK_N;pERK_N;pJNK_N;PKCA_N;pMEK_N;sex;class
0.7188559;0.9355932;0.2822034;2.0709746;3.1635593;0.2163136;0.1603814;2.2377119;0.2074153;2.0025424;1.1353814;0.2762712;0.267161;0.2667373;F;Trisomic-Aprendizaje
0.2949661;0.498586;0.3170249;2.2087104;3.0602376;0.2944005;0.2409502;3.9471154;0.231052;1.4242081;0.3704751;0.3741516;0.322681;0.3320136;M;Control-No_aprendizaje
0.3208308;0.4643521;0.3245505;2.349349;3.2203968;0.2991321;0.232796;4.5433974;0.2380657;1.4482331;0.416305;0.3620583;0.3118413;0.3261004;M;Control-No_aprendizaje
0.537876;0.8058156;0.3338325;2.3418195;3.7945838;0.2117809;0.1608636;2.5904156;0.2079121;1.4628728;0.6005241;0.2995133;0.3194808;0.2554599;F;Trisomic-Aprendizaje
0.8612655;1.0395033;0.3780012;2.5583678;4.5712596;0.2261384;0.1829687;2.5090479;0.2238912;1.9662921;1.0055588;0.3062093;0.3556475;0.2803075;M;Trisomic-Aprendizaje
0.3016949;0.5238499;0.3251816;2.7100484;4.296368;0.1924939;0.1587167;3.638862;0.2691283;1.3081114;0.3526634;0.2855932;0.2698547;0.2440678;F;Control-No_aprendizaje
0.600939;0.8373239;0.3596244;2.1943662;3.1241784;0.2453052;0.1974178;5.0312207;0.2197183;1.5983568;0.7692488;0.321831;0.3950704;0.2805164;M;Trisomic-Aprendizaje
0.3614875;0.5740795;0.3106038;2.3934462;3.9405744;0.1854934;0.1494845;2.5763623;0.2126657;1.0962445;0.5949926;0.2953608;0.3343888;0.2335788;F;Control-Aprendizaje
0.4850998;0.5563748;0.2872504;1.8921659;2.8470046;0.2230415;0.177573;1.4623656;0.1698925;1.5379416;0.6958525;0.2807988;0.3013825;0.2924731;M;Control-Aprendizaje
0.2351366;0.3901089;0.2067488;1.4668809;1.8366363;0.1656847;0.1464024;1.6573826;0.1542582;0.7550437;0.2549545;0.2108552;0.2026424;0.194251;F;Trisomic-No_aprendizaje
0.3904266;0.5841831;0.2849116;1.9531738;3.4241415;0.2197711;0.1681582;4.2201873;0.1914672;1.3363163;0.4501561;0.2990635;0.2817898;0.2909469;M;Trisomic-No_aprendizaje
0.3055043;0.4885436;0.289044;2.4956545;4.329734;0.226758;0.1649987;5.354227;0.2116144;1.2889123;0.3979457;0.3139321;0.278246;0.2555965;M;Control-No_aprendizaje
0.2726003;0.5359511;0.3024433;2.3783595;3.6837696;0.2591623;0.208377;4.0006981;0.2420593;1.2813264;0.3129145;0.3293194;0.3190227;0.2893543;M;Trisomic-No_aprendizaje
0.3956347;0.6384827;0.3536766;2.5092181;3.9801865;0.2622378;0.1839373;5.9191566;0.2847001;1.3648019;0.4482941;0.3735961;0.4011443;0.308328;F;Trisomic-No_aprendizaje
0.4564939;0.7691885;0.309031;2.3165415;3.5574281;0.2454662;0.17549;1.9278256;0.2165232;1.4103316;0.5887525;0.3374244;0.3324785;0.266166;F;Trisomic-Aprendizaje
0.3408847;0.6281149;0.3286038;2.704662;5.2966496;0.2449028;0.1906522;3.9979731;0.2646954;1.4397282;0.3643734;0.3718851;0.3514964;0.3233576;M;Trisomic-No_aprendizaje
0.2037361;0.3496832;0.232139;2.0327726;3.8811449;0.2043915;0.1480227;4.9402447;0.1649552;0.919598;0.29539;0.3079528;0.255626;0.2331221;M;Control-No_aprendizaje
0.2991406;0.4926532;0.2750208;2.2201275;3.9233435;0.2101469;0.1713335;5.7999723;0.187552;1.1713335;0.3723316;0.3386471;0.2858331;0.2807042;M;Control-No_aprendizaje
0.3017647;0.5365686;0.2986275;2.3316667;3.8272549;0.1940196;0.154902;2.6233333;0.197549;1.0017647;0.54;0.2953922;0.3281373;0.2306863;F;Control-Aprendizaje
0.3755738;0.6188525;0.3177049;2.33;4.2922951;0.2444262;0.1780328;4.9901639;0.2145902;1.3129508;0.3981967;0.3495082;0.3237705;0.2854098;M;Trisomic-No_aprendizaje
0.4386511;0.710455;0.2918472;2.1580444;3.1845883;0.2579902;0.1764626;4.2639491;0.2292795;1.2764085;0.6160618;0.3850217;0.4056067;0.2693662;F;Trisomic-Aprendizaje
0.5073213;0.7700258;0.4179587;2.9258183;6.7661499;0.2010121;0.1777562;1.8320413;0.2105943;1.869186;0.8326873;0.338609;0.336025;0.2531223;M;Control-Aprendizaje
0.3752286;0.5989025;0.3386465;2.2884766;3.7062974;0.2819441;0.2140057;4.6093546;0.2424876;1.3407369;0.412856;0.3595506;0.3626862;0.3318526;M;Trisomic-No_aprendizaje
0.226645;0.4902518;0.2705118;2.1131194;3.0978879;0.2644192;0.1976036;3.4876117;0.233753;1.114541;0.275792;0.3290008;0.2770106;0.3117384;M;Trisomic-No_aprendizaje
0.4081765;0.5436405;0.2662232;2.0296885;3.3874108;0.2152823;0.1623945;3.0749513;0.1479559;1.1656392;0.6026931;0.2889358;0.2889358;0.2475665;M;Control-Aprendizaje
0.4512432;0.5987027;0.3232432;2.3176216;4.2467027;0.2227027;0.1684324;2.1195676;0.1747027;1.5574054;0.6668108;0.2925405;0.2871351;0.2469189;F;Control-Aprendizaje
0.2812304;0.400973;0.2843691;2.2106089;4.0764281;0.2062147;0.1610169;4.9042687;0.1887947;1.3476146;0.351538;0.3124608;0.289548;0.242624;M;Control-No_aprendizaje
0.39801;0.5402156;0.305141;2.425995;4.0068408;0.2549751;0.1878109;2.3364428;0.2137231;1.3078358;0.5541045;0.333126;0.3248342;0.2603648;M;Control-Aprendizaje
